"Quadrat","Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"C9",10,614,770,188,28,46,"Dextral"
"C9",11,624,608,165,27,166,"Sinistral"
"C9",12,37,601,69,20,251,"Sinistral"
"C9",13,150,511,106,23,292,"Dextral"
"C9",14,833,447,197,28,208,"Sinistral"
"C9",15,503,351,90,22,348,"Dextral"
"C9",16,875,291,168,27,93,"Dextral"
"C9",17,832,271,151,26,254,"Dextral"
"C9",18,591,205,98,23,107,"Dextral"
"C9",19,747,148,158,26,343,"Sinistral"
"C9",20,589,101,92,22,14,"Dextral"
"D1",1,29,942,197,28,199,"Sinistral"
"D1",2,440,927,128,25,123,"Sinistral"
"D1",3,852,917,188,28,329,"Sinistral"
"D1",4,268,872,194,28,349,"Dextral"
"D1",5,423,835,123,25,21,"Dextral"
"D1",6,151,708,80,21,212,"Sinistral"
"D1",7,842,670,134,25,169,"Dextral"
"D1",8,257,648,177,27,337,"Sinistral"
"D1",9,580,630,74,21,318,"Dextral"
"D1",10,120,571,118,24,322,"Dextral"
"D1",11,634,533,150,26,258,"Dextral"
"D1",12,461,511,75,21,333,"Sinistral"
"D1",13,172,503,105,23,291,"Sinistral"
"D1",14,894,461,139,26,71,"Sinistral"
"D1",15,97,383,166,27,140,"Dextral"
"D1",16,164,318,139,26,45,"Sinistral"
"D1",17,369,288,132,25,234,"Dextral"
"D1",18,644,220,104,23,288,"Dextral"
"D1",19,605,104,110,24,249,"Sinistral"
"D1",20,86,64,86,22,183,"Dextral"
"D10",1,648,924,164,27,165,"Dextral"
"D10",2,449,857,132,25,186,"Sinistral"
"D10",3,770,836,49,18,277,"Sinistral"
"D10",4,833,745,197,28,294,"Dextral"
"D10",5,453,706,137,25,171,"Dextral"
"D10",6,83,700,83,22,311,"Dextral"
"D10",7,600,667,153,26,155,"Sinistral"
"D10",8,860,651,85,22,94,"Dextral"
"D10",9,211,631,148,26,212,"Sinistral"
"D10",10,885,605,247,30,308,"Dextral"
"D10",11,257,585,67,20,99,"Dextral"
"D10",12,700,477,122,25,295,"Dextral"
"D10",13,579,400,41,16,272,"Sinistral"
"D10",14,495,383,149,26,96,"Dextral"
"D10",15,809,233,116,24,7,"Dextral"
"D10",16,504,214,136,25,332,"Dextral"
"D10",17,227,147,182,28,58,"Sinistral"
"D10",18,209,139,110,24,174,"Sinistral"
"D10",19,576,69,87,22,77,"Sinistral"
"D10",20,656,61,152,26,228,"Sinistral"
"D2",1,757,906,160,27,119,"Dextral"
"D2",2,644,825,105,23,173,"Sinistral"
"D2",3,266,719,235,30,285,"Sinistral"
"D2",4,224,716,161,27,264,"Dextral"
"D2",5,709,696,80,21,240,"Sinistral"
"D2",6,81,644,55,18,262,"Dextral"
"D2",7,91,533,225,29,261,"Sinistral"
"D2",8,381,473,147,26,209,"Dextral"
"D2",9,540,373,106,23,197,"Dextral"
"D2",10,464,332,140,26,293,"Dextral"
"D2",11,432,278,166,27,142,"Sinistral"
"D2",12,668,271,188,28,255,"Dextral"
"D2",13,334,217,96,23,180,"Sinistral"
"D2",14,828,201,153,26,173,"Dextral"
"D2",15,883,180,188,28,239,"Sinistral"
"D2",16,45,127,123,25,312,"Sinistral"
"D2",17,281,115,37,15,289,"Dextral"
"D2",18,810,78,133,25,310,"Dextral"
"D2",19,817,50,166,27,312,"Dextral"
"D2",20,692,32,111,24,306,"Sinistral"
"D3",1,774,920,113,24,70,"Dextral"
"D3",2,526,841,123,25,52,"Dextral"
"D3",3,784,798,196,28,202,"Sinistral"
"D3",4,200,796,80,21,312,"Sinistral"
"D3",5,87,775,191,28,113,"Sinistral"
"D3",6,766,752,230,29,131,"Sinistral"
"D3",7,466,746,143,26,6,"Sinistral"
"D3",8,71,664,119,24,283,"Sinistral"
"D3",9,142,638,130,25,84,"Sinistral"
"D3",10,549,598,117,24,268,"Dextral"
"D3",11,602,575,151,26,258,"Dextral"
"D3",12,318,569,130,25,41,"Dextral"
"D3",13,550,555,186,28,207,"Sinistral"
"D3",14,774,341,50,18,329,"Dextral"
"D3",15,80,307,117,24,336,"Sinistral"
"D3",16,949,278,226,29,0,"Dextral"
"D3",17,214,269,114,24,324,"Sinistral"
"D3",18,96,248,83,22,199,"Dextral"
"D3",19,39,232,147,26,160,"Sinistral"
"D3",20,195,106,36,15,135,"Dextral"
"D4",1,70,937,33,15,327,"Sinistral"
"D4",2,717,899,88,22,103,"Sinistral"
"D4",3,785,846,121,24,6,"Dextral"
"D4",4,586,832,135,25,195,"Dextral"
"D4",5,55,752,180,27,239,"Sinistral"
"D4",6,215,679,134,25,277,"Dextral"
"D4",7,142,576,219,29,268,"Sinistral"
"D4",8,481,511,82,22,83,"Sinistral"
"D4",9,714,495,128,25,82,"Sinistral"
"D4",10,934,464,88,22,252,"Sinistral"
"D4",11,88,409,130,25,114,"Sinistral"
"D4",12,932,348,153,26,93,"Sinistral"
"D4",13,877,254,107,24,167,"Dextral"
"D4",14,569,228,142,26,220,"Dextral"
"D4",15,269,215,113,24,188,"Sinistral"
"D4",16,97,214,140,26,93,"Dextral"
"D4",17,764,158,159,27,4,"Sinistral"
"D4",18,939,76,164,27,93,"Dextral"
"D4",19,540,53,98,23,345,"Sinistral"
"D4",20,668,40,159,27,241,"Dextral"
"D5",1,187,943,197,28,89,"Dextral"
"D5",2,622,904,69,20,72,"Sinistral"
"D5",3,664,633,84,22,12,"Sinistral"
"D5",4,135,568,143,26,130,"Sinistral"
"D5",5,658,564,227,29,128,"Dextral"
"D5",6,899,560,101,23,341,"Dextral"
"D5",7,507,486,136,25,58,"Sinistral"
"D5",8,50,482,95,23,126,"Dextral"
"D5",9,368,456,208,29,237,"Dextral"
"D5",10,766,432,100,23,150,"Dextral"
"D5",11,565,412,225,29,172,"Sinistral"
"D5",12,488,269,168,27,209,"Sinistral"
"D5",13,881,258,113,24,166,"Sinistral"
"D5",14,122,220,94,23,339,"Sinistral"
"D5",15,144,184,166,27,309,"Dextral"
"D5",16,120,182,62,19,277,"Sinistral"
"D5",17,629,155,149,26,132,"Dextral"
"D5",18,903,68,168,27,214,"Dextral"
"D5",19,154,54,116,24,4,"Dextral"
"D5",20,668,41,150,26,247,"Dextral"
"D6",1,926,941,147,26,13,"Sinistral"
"D6",2,633,912,69,20,330,"Sinistral"
"D6",3,517,874,141,26,248,"Dextral"
"D6",4,718,837,185,28,252,"Dextral"
"D6",5,98,810,100,23,261,"Dextral"
"D6",6,380,787,90,22,105,"Sinistral"
"D6",7,894,745,204,28,350,"Sinistral"
"D6",8,946,711,150,26,338,"Sinistral"
"D6",9,164,627,146,26,254,"Sinistral"
"D6",10,230,613,46,17,256,"Sinistral"
"D6",11,559,585,53,18,49,"Dextral"
"D6",12,821,550,150,26,87,"Sinistral"
"D6",13,519,539,140,26,86,"Dextral"
"D6",14,870,526,141,26,83,"Dextral"
"D6",15,585,463,146,26,59,"Sinistral"
"D6",16,38,407,178,27,164,"Dextral"
"D6",17,508,372,132,25,309,"Sinistral"
"D6",18,754,356,164,27,11,"Sinistral"
"D6",19,108,248,232,29,19,"Sinistral"
"D6",20,794,239,58,19,4,"Dextral"
"D7",1,850,866,102,23,32,"Sinistral"
"D7",2,635,789,70,20,102,"Dextral"
"D7",3,433,733,162,27,291,"Dextral"
"D7",4,378,729,128,25,172,"Dextral"
"D7",5,169,703,88,22,84,"Dextral"
"D7",6,95,701,161,27,52,"Sinistral"
"D7",7,857,559,250,30,282,"Sinistral"
"D7",8,882,547,78,21,154,"Sinistral"
"D7",9,693,486,143,26,188,"Sinistral"
"D7",10,566,473,89,22,144,"Dextral"
"D7",11,496,439,131,25,354,"Sinistral"
"D7",12,916,427,132,25,166,"Sinistral"
"D7",13,639,409,59,19,116,"Dextral"
"D7",14,54,400,191,28,145,"Sinistral"
"D7",15,125,342,109,24,223,"Sinistral"
"D7",16,273,299,137,25,93,"Sinistral"
"D7",17,937,266,75,21,68,"Dextral"
"D7",18,308,265,159,27,88,"Sinistral"
"D7",19,900,264,96,23,181,"Sinistral"
"D7",20,731,86,102,23,62,"Sinistral"
"D8",1,446,801,58,19,259,"Dextral"
"D8",2,291,783,134,25,183,"Sinistral"
"D8",3,503,751,124,25,255,"Sinistral"
"D8",4,599,689,83,22,329,"Sinistral"
"D8",5,35,642,219,29,144,"Sinistral"
"D8",6,656,635,215,29,39,"Sinistral"
"D8",7,897,601,155,26,148,"Dextral"
"D8",8,621,572,61,19,186,"Sinistral"
"D8",9,631,547,157,26,130,"Dextral"
"D8",10,833,441,157,26,337,"Sinistral"
"D8",11,477,408,122,25,129,"Dextral"
"D8",12,743,407,124,25,214,"Sinistral"
"D8",13,833,395,138,25,6,"Sinistral"
"D8",14,323,353,191,28,184,"Sinistral"
"D8",15,123,308,126,25,14,"Dextral"
"D8",16,248,251,135,25,195,"Dextral"
"D8",17,941,195,138,25,76,"Dextral"
"D8",18,672,145,195,28,150,"Dextral"
"D8",19,716,136,148,26,106,"Sinistral"
"D8",20,627,41,167,27,316,"Dextral"
"D9",1,946,717,138,25,68,"Sinistral"
"D9",2,502,672,131,25,0,"Sinistral"
"D9",3,308,672,132,25,76,"Sinistral"
"D9",4,925,671,114,24,166,"Sinistral"
"D9",5,627,653,211,29,59,"Dextral"
"D9",6,540,614,148,26,93,"Sinistral"
"D9",7,445,613,175,27,310,"Sinistral"
"D9",8,936,584,116,24,296,"Sinistral"
"D9",9,292,579,141,26,253,"Dextral"
"D9",10,843,542,133,25,48,"Sinistral"
"D9",11,206,501,162,27,76,"Sinistral"
"D9",12,410,500,45,17,313,"Dextral"
"D9",13,456,492,78,21,352,"Dextral"
"D9",14,784,396,47,17,221,"Sinistral"
"D9",15,321,343,106,23,20,"Dextral"
"D9",16,136,336,92,22,23,"Sinistral"
"D9",17,518,333,143,26,338,"Sinistral"
"D9",18,420,328,120,24,32,"Sinistral"
"D9",19,319,143,42,16,168,"Dextral"
"D9",20,756,75,135,25,317,"Dextral"
"E1",1,332,936,182,28,246,"Sinistral"
"E1",2,346,922,111,24,164,"Dextral"
"E1",3,181,878,210,29,216,"Sinistral"
"E1",4,233,621,155,26,194,"Dextral"
"E1",5,734,621,119,24,300,"Sinistral"
"E1",6,500,596,141,26,339,"Sinistral"
"E1",7,319,583,141,26,267,"Sinistral"
"E1",8,524,582,93,22,35,"Dextral"
"E1",9,143,562,193,28,297,"Dextral"
"E1",10,306,526,42,16,31,"Sinistral"
"E1",11,288,455,137,25,2,"Dextral"
"E1",12,727,437,141,26,64,"Sinistral"
"E1",13,891,412,148,26,336,"Dextral"
"E1",14,30,371,33,15,45,"Sinistral"
"E1",15,170,355,85,22,309,"Dextral"
"E1",16,695,238,159,27,2,"Dextral"
"E1",17,633,229,95,23,93,"Dextral"
"E1",18,856,200,164,27,67,"Sinistral"
"E1",19,663,160,73,21,324,"Sinistral"
"E1",20,869,159,50,18,210,"Dextral"
"E10",1,384,886,228,29,173,"Dextral"
"E10",2,154,839,158,27,70,"Dextral"
"E10",3,586,832,186,28,1,"Sinistral"
"E10",4,100,813,154,26,310,"Dextral"
"E10",5,371,797,175,27,272,"Sinistral"
"E10",6,470,793,128,25,26,"Dextral"
"E10",7,641,757,190,28,24,"Dextral"
"E10",8,88,687,93,22,48,"Sinistral"
"E10",9,850,687,129,25,80,"Dextral"
"E10",10,462,670,214,29,175,"Sinistral"
"E10",11,550,628,136,25,147,"Sinistral"
"E10",12,823,622,68,20,299,"Sinistral"
"E10",13,287,522,191,28,54,"Dextral"
"E10",14,83,512,210,29,196,"Dextral"
"E10",15,807,510,106,23,178,"Sinistral"
"E10",16,571,443,141,26,23,"Sinistral"
"E10",17,396,430,249,30,294,"Sinistral"
"E10",18,915,340,138,25,151,"Dextral"
"E10",19,28,254,83,22,302,"Sinistral"
"E10",20,258,118,139,26,116,"Dextral"
"E2",1,455,911,75,21,210,"Dextral"
"E2",2,715,775,109,24,160,"Dextral"
"E2",3,470,731,170,27,238,"Dextral"
"E2",4,436,723,169,27,193,"Dextral"
"E2",5,859,626,90,22,291,"Sinistral"
"E2",6,109,587,85,22,200,"Sinistral"
"E2",7,818,439,62,19,37,"Dextral"
"E2",8,550,400,84,22,42,"Sinistral"
"E2",9,670,396,141,26,244,"Sinistral"
"E2",10,539,288,145,26,200,"Dextral"
"E2",11,237,274,163,27,307,"Dextral"
"E2",12,567,264,97,23,234,"Sinistral"
"E2",13,104,240,112,24,77,"Dextral"
"E2",14,236,209,28,13,118,"Sinistral"
"E2",15,885,200,203,28,70,"Sinistral"
"E2",16,916,182,255,30,144,"Sinistral"
"E2",17,756,142,129,25,193,"Sinistral"
"E2",18,101,135,114,24,31,"Sinistral"
"E2",19,135,116,116,24,45,"Dextral"
"E2",20,285,60,107,24,121,"Sinistral"
"E3",1,925,874,123,25,193,"Sinistral"
"E3",2,316,838,182,28,318,"Sinistral"
"E3",3,70,807,149,26,228,"Sinistral"
"E3",4,414,802,120,24,289,"Dextral"
"E3",5,370,785,69,20,150,"Dextral"
"E3",6,402,726,119,24,319,"Dextral"
"E3",7,268,646,81,21,51,"Dextral"
"E3",8,216,550,163,27,53,"Dextral"
"E3",9,398,472,127,25,22,"Dextral"
"E3",10,267,471,89,22,256,"Sinistral"
"E3",11,205,393,153,26,323,"Dextral"
"E3",12,163,318,92,22,6,"Dextral"
"E3",13,262,317,143,26,164,"Sinistral"
"E3",14,86,293,142,26,106,"Sinistral"
"E3",15,393,288,130,25,44,"Dextral"
"E3",16,113,275,142,26,23,"Sinistral"
"E3",17,540,215,129,25,98,"Sinistral"
"E3",18,265,204,162,27,282,"Sinistral"
"E3",19,904,68,201,28,130,"Dextral"
"E3",20,524,61,157,26,244,"Dextral"
"E4",1,819,949,136,25,357,"Sinistral"
"E4",2,688,948,196,28,225,"Dextral"
"E4",3,736,924,131,25,128,"Sinistral"
"E4",4,175,822,89,22,274,"Dextral"
"E4",5,195,781,114,24,6,"Dextral"
"E4",6,532,778,105,23,340,"Sinistral"
"E4",7,44,717,145,26,103,"Dextral"
"E4",8,252,710,211,29,78,"Dextral"
"E4",9,805,656,85,22,155,"Sinistral"
"E4",10,828,640,97,23,122,"Sinistral"
"E4",11,687,595,208,29,125,"Sinistral"
"E4",12,306,579,123,25,86,"Dextral"
"E4",13,752,317,79,21,205,"Dextral"
"E4",14,93,247,158,27,245,"Dextral"
"E4",15,305,235,126,25,116,"Dextral"
"E4",16,868,178,203,28,5,"Dextral"
"E4",17,246,114,210,29,309,"Dextral"
"E4",18,497,103,114,24,85,"Dextral"
"E4",19,542,79,240,30,49,"Dextral"
"E4",20,817,58,53,18,245,"Sinistral"
"E5",1,87,732,77,21,181,"Dextral"
"E5",2,210,671,68,20,195,"Dextral"
"E5",3,904,651,134,25,258,"Sinistral"
"E5",4,374,615,82,22,248,"Sinistral"
"E5",5,784,595,165,27,281,"Dextral"
"E5",6,712,586,140,26,342,"Sinistral"
"E5",7,249,558,151,26,148,"Dextral"
"E5",8,486,550,116,24,47,"Sinistral"
"E5",9,642,497,48,17,83,"Sinistral"
"E5",10,610,487,55,18,209,"Sinistral"
"E5",11,855,447,138,25,310,"Sinistral"
"E5",12,136,347,126,25,83,"Sinistral"
"E5",13,325,307,179,27,83,"Sinistral"
"E5",14,541,268,128,25,86,"Dextral"
"E5",15,527,227,52,18,283,"Dextral"
"E5",16,637,224,77,21,176,"Sinistral"
"E5",17,290,217,161,27,320,"Dextral"
"E5",18,715,186,177,27,357,"Dextral"
"E5",19,163,161,184,28,171,"Dextral"
"E5",20,344,87,116,24,134,"Dextral"
"E6",1,640,913,142,26,46,"Sinistral"
"E6",2,904,908,141,26,324,"Dextral"
"E6",3,941,877,131,25,336,"Sinistral"
"E6",4,560,833,136,25,343,"Dextral"
"E6",5,117,810,149,26,145,"Dextral"
"E6",6,872,712,122,25,154,"Dextral"
"E6",7,559,695,180,28,358,"Dextral"
"E6",8,484,685,141,26,173,"Sinistral"
"E6",9,929,678,130,25,144,"Dextral"
"E6",10,105,659,174,27,262,"Sinistral"
"E6",11,90,640,160,27,58,"Dextral"
"E6",12,309,607,145,26,113,"Sinistral"
"E6",13,387,479,149,26,10,"Dextral"
"E6",14,29,446,147,26,47,"Dextral"
"E6",15,139,437,147,26,54,"Sinistral"
"E6",16,328,378,107,24,80,"Dextral"
"E6",17,896,375,118,24,218,"Dextral"
"E6",18,634,297,70,20,319,"Dextral"
"E6",19,702,285,122,25,208,"Sinistral"
"E6",20,378,230,101,23,262,"Sinistral"
"E7",1,165,935,115,24,98,"Sinistral"
"E7",2,689,897,165,27,22,"Dextral"
"E7",3,881,848,109,24,28,"Dextral"
"E7",4,748,770,138,25,139,"Sinistral"
"E7",5,347,749,225,29,292,"Dextral"
"E7",6,576,746,135,25,176,"Sinistral"
"E7",7,781,717,103,23,155,"Sinistral"
"E7",8,199,661,65,20,65,"Sinistral"
"E7",9,680,576,112,24,334,"Sinistral"
"E7",10,916,575,104,23,322,"Dextral"
"E7",11,294,516,163,27,357,"Dextral"
"E7",12,814,469,155,26,275,"Dextral"
"E7",13,128,453,207,29,182,"Sinistral"
"E7",14,185,442,88,22,56,"Sinistral"
"E7",15,184,414,130,25,5,"Sinistral"
"E7",16,508,332,201,28,102,"Dextral"
"E7",17,497,269,93,22,52,"Dextral"
"E7",18,300,190,195,28,211,"Sinistral"
"E7",19,521,188,131,25,192,"Dextral"
"E7",20,94,72,125,25,164,"Sinistral"
"E8",1,638,903,179,27,32,"Dextral"
"E8",2,819,872,172,27,19,"Sinistral"
"E8",3,782,817,108,24,160,"Sinistral"
"E8",4,571,790,199,28,56,"Dextral"
"E8",5,894,726,166,27,269,"Dextral"
"E8",6,115,717,130,25,55,"Dextral"
"E8",7,631,703,92,22,308,"Sinistral"
"E8",8,153,666,154,26,74,"Dextral"
"E8",9,167,597,58,19,231,"Dextral"
"E8",10,607,594,202,28,233,"Sinistral"
"E8",11,158,588,130,25,319,"Sinistral"
"E8",12,558,521,127,25,183,"Dextral"
"E8",13,725,512,162,27,297,"Dextral"
"E8",14,41,360,170,27,129,"Sinistral"
"E8",15,547,247,113,24,305,"Dextral"
"E8",16,652,238,153,26,125,"Dextral"
"E8",17,278,196,167,27,249,"Dextral"
"E8",18,628,84,130,25,349,"Dextral"
"E8",19,850,70,67,20,147,"Dextral"
"E8",20,778,58,106,23,299,"Sinistral"
"E9",1,637,803,156,26,281,"Sinistral"
"E9",2,498,714,79,21,105,"Sinistral"
"E9",3,343,686,77,21,179,"Sinistral"
"E9",4,190,668,91,22,14,"Dextral"
"E9",5,444,628,239,30,99,"Sinistral"
"E9",6,177,613,333,30,104,"Sinistral"
"E9",7,45,588,160,27,251,"Sinistral"
"E9",8,726,582,226,29,62,"Sinistral"
"E9",9,631,576,66,20,0,"Sinistral"
"E9",10,574,533,214,29,56,"Dextral"
"E9",11,663,455,125,25,228,"Dextral"
"E9",12,468,435,190,28,184,"Sinistral"
"E9",13,612,409,188,28,303,"Sinistral"
"E9",14,305,400,101,23,166,"Sinistral"
"E9",15,588,373,107,23,218,"Dextral"
"E9",16,501,299,121,24,24,"Dextral"
"E9",17,738,112,157,26,188,"Dextral"
"E9",18,727,71,100,23,280,"Sinistral"
"E9",19,399,61,155,26,322,"Sinistral"
"E9",20,488,55,61,19,74,"Sinistral"
"F1",1,668,899,88,22,196,"Dextral"
"F1",2,488,866,115,24,3,"Sinistral"
"F1",3,93,793,132,25,182,"Dextral"
"F1",4,657,780,121,24,153,"Sinistral"
"F1",5,77,667,128,25,353,"Sinistral"
"F1",6,357,665,128,25,171,"Sinistral"
"F1",7,523,635,151,26,165,"Sinistral"
"F1",8,209,599,169,27,240,"Dextral"
"F1",9,911,545,154,26,316,"Sinistral"
"F1",10,772,513,134,25,27,"Sinistral"
"F1",11,756,476,164,27,16,"Sinistral"
"F1",12,458,475,106,23,174,"Dextral"
"F1",13,813,469,140,26,48,"Dextral"
"F1",14,333,463,116,24,269,"Dextral"
"F1",15,313,405,142,26,1,"Sinistral"
"F1",16,865,349,115,24,2,"Sinistral"
"F1",17,910,251,108,24,131,"Dextral"
"F1",18,441,245,200,28,235,"Sinistral"
"F1",19,551,54,152,26,166,"Sinistral"
"F1",20,888,29,57,19,71,"Sinistral"
"F10",1,71,941,86,22,148,"Dextral"
"F10",2,505,933,105,23,93,"Sinistral"
"F10",3,171,871,143,26,112,"Dextral"
"F10",4,667,850,136,25,109,"Dextral"
"F10",5,137,833,134,25,58,"Sinistral"
"F10",6,494,792,240,30,311,"Dextral"
"F10",7,582,691,161,27,40,"Dextral"
"F10",8,557,678,113,24,2,"Sinistral"
"F10",9,866,651,158,26,339,"Sinistral"
"F10",10,747,560,119,24,52,"Sinistral"
"F10",11,480,546,198,28,159,"Dextral"
"F10",12,593,524,148,26,256,"Dextral"
"F10",13,386,442,199,28,123,"Dextral"
"F10",14,409,348,91,22,293,"Sinistral"
"F10",15,207,331,101,23,138,"Sinistral"
"F10",16,657,294,123,25,151,"Sinistral"
"F10",17,338,235,158,26,244,"Dextral"
"F10",18,299,195,98,23,266,"Dextral"
"F10",19,320,50,92,22,122,"Dextral"
"F10",20,745,46,114,24,248,"Dextral"
"F2",1,268,864,85,22,198,"Sinistral"
"F2",2,505,676,49,18,297,"Sinistral"
"F2",3,944,611,18,10,108,"Dextral"
"F2",4,463,606,159,27,183,"Sinistral"
"F2",5,884,601,187,28,255,"Dextral"
"F2",6,605,584,100,23,190,"Sinistral"
"F2",7,578,563,205,28,279,"Dextral"
"F2",8,48,498,159,27,164,"Sinistral"
"F2",9,939,397,136,25,179,"Sinistral"
"F2",10,243,387,201,28,243,"Sinistral"
"F2",11,615,380,73,21,235,"Dextral"
"F2",12,893,357,91,22,132,"Dextral"
"F2",13,140,325,119,24,52,"Sinistral"
"F2",14,889,212,65,20,148,"Dextral"
"F2",15,602,204,152,26,45,"Sinistral"
"F2",16,676,191,122,25,100,"Sinistral"
"F2",17,385,183,145,26,47,"Dextral"
"F2",18,384,133,150,26,221,"Dextral"
"F2",19,773,114,112,24,145,"Dextral"
"F2",20,683,65,88,22,246,"Sinistral"
"F3",1,420,924,96,23,47,"Dextral"
"F3",2,158,919,218,29,196,"Sinistral"
"F3",3,769,819,153,26,1,"Sinistral"
"F3",4,942,812,99,23,351,"Sinistral"
"F3",5,857,730,74,21,216,"Dextral"
"F3",6,141,714,127,25,83,"Sinistral"
"F3",7,484,697,195,28,260,"Dextral"
"F3",8,656,650,94,23,22,"Sinistral"
"F3",9,841,630,90,22,348,"Sinistral"
"F3",10,437,584,222,29,116,"Dextral"
"F3",11,708,577,134,25,200,"Dextral"
"F3",12,548,561,164,27,243,"Dextral"
"F3",13,671,559,119,24,164,"Sinistral"
"F3",14,48,517,124,25,315,"Sinistral"
"F3",15,291,482,198,28,354,"Sinistral"
"F3",16,786,446,68,20,92,"Dextral"
"F3",17,615,418,218,29,147,"Sinistral"
"F3",18,946,337,130,25,16,"Dextral"
"F3",19,140,259,175,27,67,"Dextral"
"F3",20,128,130,71,20,93,"Sinistral"
"F4",1,334,921,118,24,299,"Dextral"
"F4",2,712,907,137,25,12,"Sinistral"
"F4",3,870,896,145,26,283,"Dextral"
"F4",4,850,889,116,24,103,"Sinistral"
"F4",5,107,883,28,13,205,"Sinistral"
"F4",6,63,868,71,20,22,"Dextral"
"F4",7,562,682,57,19,250,"Sinistral"
"F4",8,319,670,191,28,88,"Sinistral"
"F4",9,234,601,155,26,165,"Sinistral"
"F4",10,645,532,143,26,52,"Dextral"
"F4",11,26,469,105,23,130,"Dextral"
"F4",12,553,420,177,27,312,"Dextral"
"F4",13,257,307,69,20,33,"Dextral"
"F4",14,196,300,144,26,323,"Dextral"
"F4",15,493,257,107,23,128,"Dextral"
"F4",16,315,166,210,29,189,"Sinistral"
"F4",17,596,135,102,23,122,"Dextral"
"F4",18,814,119,99,23,135,"Sinistral"
"F4",19,564,89,150,26,278,"Sinistral"
"F4",20,138,54,125,25,353,"Sinistral"
"F5",1,623,852,132,25,336,"Sinistral"
"F5",2,565,783,166,27,88,"Dextral"
"F5",3,473,727,104,23,204,"Dextral"
"F5",4,463,604,142,26,33,"Sinistral"
"F5",5,895,551,96,23,240,"Sinistral"
"F5",6,437,519,150,26,158,"Sinistral"
"F5",7,104,450,113,24,108,"Dextral"
"F5",8,448,425,109,24,126,"Sinistral"
"F5",9,815,416,175,27,159,"Sinistral"
"F5",10,46,414,74,21,202,"Dextral"
"F5",11,850,406,117,24,353,"Sinistral"
"F5",12,610,396,101,23,212,"Sinistral"
"F5",13,195,373,151,26,72,"Dextral"
"F5",14,602,315,186,28,249,"Dextral"
"F5",15,296,293,155,26,24,"Dextral"
"F5",16,233,221,122,24,113,"Dextral"
"F5",17,704,151,106,23,340,"Sinistral"
"F5",18,580,135,180,28,356,"Sinistral"
"F5",19,128,132,83,22,28,"Sinistral"
"F5",20,590,81,63,20,320,"Dextral"
"F6",1,481,912,61,19,166,"Dextral"
"F6",2,703,905,99,23,78,"Dextral"
"F6",3,56,894,143,26,97,"Dextral"
"F6",4,650,870,147,26,310,"Dextral"
"F6",5,710,823,139,26,265,"Sinistral"
"F6",6,299,784,120,24,59,"Dextral"
"F6",7,729,691,146,26,47,"Sinistral"
"F6",8,620,614,110,24,142,"Sinistral"
"F6",9,473,575,156,26,225,"Dextral"
"F6",10,814,399,83,22,310,"Dextral"
"F6",11,565,378,168,27,128,"Dextral"
"F6",12,322,367,245,30,290,"Dextral"
"F6",13,380,357,128,25,145,"Sinistral"
"F6",14,800,357,163,27,191,"Dextral"
"F6",15,521,345,143,26,194,"Dextral"
"F6",16,580,236,137,25,359,"Dextral"
"F6",17,178,191,189,28,279,"Dextral"
"F6",18,257,177,78,21,280,"Dextral"
"F6",19,666,75,118,24,101,"Dextral"
"F6",20,588,54,172,27,25,"Sinistral"
"F7",1,577,855,143,26,100,"Dextral"
"F7",2,340,805,122,25,236,"Sinistral"
"F7",3,117,760,104,23,149,"Dextral"
"F7",4,743,739,144,26,40,"Sinistral"
"F7",5,167,679,170,27,21,"Dextral"
"F7",6,31,649,52,18,275,"Sinistral"
"F7",7,587,640,94,23,34,"Sinistral"
"F7",8,282,562,156,26,234,"Sinistral"
"F7",9,553,534,131,25,203,"Sinistral"
"F7",10,67,484,118,24,154,"Sinistral"
"F7",11,679,471,59,19,185,"Sinistral"
"F7",12,747,411,111,24,295,"Sinistral"
"F7",13,516,328,94,23,143,"Dextral"
"F7",14,116,288,199,28,104,"Dextral"
"F7",15,672,244,178,27,217,"Dextral"
"F7",16,548,232,132,25,210,"Dextral"
"F7",17,496,208,46,17,13,"Sinistral"
"F7",18,106,156,134,25,156,"Sinistral"
"F7",19,426,144,59,19,155,"Sinistral"
"F7",20,84,34,173,27,51,"Dextral"
"F8",1,218,910,132,25,191,"Dextral"
"F8",2,479,826,53,18,76,"Dextral"
"F8",3,923,814,79,21,141,"Dextral"
"F8",4,191,789,158,27,1,"Dextral"
"F8",5,817,713,157,26,54,"Dextral"
"F8",6,631,649,113,24,346,"Dextral"
"F8",7,224,606,191,28,240,"Dextral"
"F8",8,66,604,95,23,179,"Dextral"
"F8",9,93,603,23,12,217,"Sinistral"
"F8",10,321,567,155,26,242,"Dextral"
"F8",11,874,505,86,22,322,"Sinistral"
"F8",12,470,360,169,27,110,"Sinistral"
"F8",13,569,299,107,24,35,"Dextral"
"F8",14,835,269,97,23,50,"Dextral"
"F8",15,571,250,115,24,254,"Dextral"
"F8",16,948,222,17,10,13,"Sinistral"
"F8",17,672,170,185,28,151,"Sinistral"
"F8",18,463,163,83,22,23,"Dextral"
"F8",19,537,154,24,12,118,"Sinistral"
"F8",20,49,141,145,26,103,"Sinistral"
"F9",1,651,920,101,23,158,"Dextral"
"F9",2,783,840,62,19,293,"Dextral"
